Short Name,Long Name,Created (if after 1/1/18),Last Updated  (if after 1/1/18)
acland,Acland's Video Atlas of Human Anatomy,-,-
arc,Aerospace Research Central,-,-
asp,Alexander Street Press,1/8/18,6/14/19
aaf,allAfrica,4/26/18,4/26/18
?,AMA Manual of Style,Add,Add
adv,Ambrose Digital Video,4/17/18,4/17/18
acs,American Chemical Society,-,-
acp,American College of Physicians,-,-
aea,American Economic Association,9/3/19,9/3/19
aip,American Institute of Physics,-,-
amjmed,American Journal of Medicine,5/23/18,5/23/18
AJPH,American Journal of Public Health,-,-
ajr,American Journal of Roentgenology,Add,Add
amms,American Mathematical Society,-,8/13/19
ams,American Meteorological Society,-,-
physiology,American Physiological Society,6/6/19,6/6/19
apa,American Psychological Association,12/11/18,12/11/18
asce,American Society of civil engineers,-,-
asco,American Society of Clinical Oncology,-,-
ar,Annual Reviews,-,5/23/18
aoua,AOUA,-,-
amdigital,Archives Direct - Adam Matthew Digital,-,6/18/19
artnet,Artnet,8/14/19,8/14/19
artstor,Artstor Digital Library,-,4/11/19
assimil,ASSIMIL,-,-
acm,Association for Computing Machinery,-,-
atml,Atomic Learning,-,-
bvg,Bates Visual Guide To Physical Examination,4/18/18,4/18/18
eni,Bibliothèque Numérique ENI,-,-
bmc,Biomed Central,-,-
bioone,BioOne,-,4/16/19
biotech,BioTechniques,8/20/18,8/20/18
grevisse,Bon Usage Grevisse,-,-
brepols,Brepols,-,2/23/18
brill,Brill,-,-
britannica,Britannica,-,-
britannica-iq,Britannica Image Quest,-,-
?,British History Online,Add,Add
browzine,BrowZine,-,-
brgm,BUREAU DE RECHERCHES GÉOLOGIQUES ET MINIÈRES,-,-
cabi,CAB eBooks,-,6/3/19
cairn,CAIRN,-,2/26/18
cbo,Cambridge Books Online,-,-
cup,Cambridge University Press,-,6/14/19
cellpress,Cell Press,-,-
cepr,Center for economic policy research,-,-
cedram,Centre de diffusion de revues Académiques Mathématiques,-,-
chadwyck,Chadwyck-Healey Literature Collections,6/14/18,8/9/19
chest,CHEST,8/16/18,8/16/18
cms,Chicago Manual of Style,5/23/18,5/23/18
cso,chicago scholarship online,-,-
ck,ClinicalKey,-,-
cnki,CNKI,6/21/18,6/21/18
ciao,Columbia International Affairs Online,-,-
cqp,CQ Press Library,2/23/18,2/23/18
cyberlibris,Cyberlibris,-,-
dalloz,Dalloz,-,-
dallozbib,Dalloz,-,-
dff,Dalloz Forum Famille,-,-
dalloz-revues,Dalloz Revues,-,-
mandumah,DarAlMandumah,-,-
dp,Data-Planet,6/6/18,6/6/18
dawsonera,Dawsonera,-,-
degruyter,De Gruyter,-,-
deepdyve,DeepDyve,-,-
di,Delphes Indexpresse,-,-
loeb,Digital Loeb Classical Library,6/29/18,6/29/18
dnsa,Digital National Security Archive,-,-
dz,DigiZeitschriften,-,8/13/19
discovery,Discovery Education,-,-
docnum,Docnum,-,-
doctrinal-plus,Doctrinal Plus,-,-
duxiu,Duxiu,6/3/19,6/3/19
dynamed,Dynamed,3/15/19,3/15/19
imaios,e-Anatomy,3/20/18,3/20/18
eebo,Early English Books Online,-,-
eastview,East View,-,-
ebscohost,EbscoHost,-,6/23/18
esa,Ecological Society of America,-,-
eiu,Economist Intelligence Unit,6/3/19,6/3/19
eup,Edinburgh University Press,9/3/19,9/3/19
efl,Editions Francis Lefebvre,-,-
elnet,Éditions Législatives,-,-
edp,EDP Sciences,-,-
hraf,eHRAF,8/9/19,8/9/19
elgar,Elgaronline,6/3/19,6/14/19
elsevier,Elsevier Journals (Elsevier Domain),8/13/19,8/13/19
emc,EM Premium EMC,-,-
emb,Embase,-,-
emerald,Emerald management ejournals archives et Business,-,-
universalis,Encyclopædia Universalis,-,-
es,Endocrine Society,-,-
engv,Engineering Village,-,-
erudit,Erudit,-,-
?,Ethnicity & Disease,Add,Add
euromonitor,Euromonitor International,6/4/19,6/14/19
ems,European Mathematical Society,-,-
europresse,Europresse,-,-
nep,Europresse nouvelle plateforme,-,-
evidal,Evidal,-,-
factiva,Factiva,10/29/18,10/29/18
f1000,Faculty 1000,6/5/19,6/28/19
fio,Film Indexes Online,-,-
ft,Financial Times,-,-
futuremedicine,Future Medicine,-,-
gc,Gale Cengag,-,-
galileo,GALILEO,6/4/19,6/4/19
gallup,Gallup Analytics,6/6/19,6/6/19
gn,Garnier Numérique,-,4/12/19
geofacets,Geofacets,-,-
guidestar,GuideStar,6/3/19,6/3/19
hal,HAL - Archives Ouvertes,-,-
harmatheque,Harmathèque,-,-
heinonline,HeinOnline,-,-
hw,HighWire,-,6/6/19
heb,Humanities E-Books,4/12/19,4/12/19
istex,Identifie les consultations de la plateforme Istex,-,-
iet-dl,IET Digital Library,-,-
iet-is,IET InspectDirect,-,-
iet.tv,IET.tv,-,-
?,Index of Medieval Art,Add,Add
informs,INFORMS,-,-
infoweb,InfoWeb Readex,6/4/19,6/4/19
ic,Ingenta Connect,-,6/4/19
ieee,Institute of Electrical and Electronics Engineers,9/3/19,9/3/19
ipm,Intelex Past Masters,6/14/19,6/14/19
?,International Monetary Fund,Add,Add
iopscience,IOP Science,-,-
ios,IOS press,-,-
dspace,Irevues - Dspace,-,-
jle,John Libbery Eurotext,-,-
joly-editions,Joly Editions,-,-
jce,Journal of Clinical Epidemiology,12/21/18,12/21/18
jcp,Journal of Clinical Psychiatry,2/23/18,2/23/18
jgme,Journal of Graduate Medical Education,4/23/19,4/23/19
?,Journal of Jewish Studies,Add,Add
jsad,Journal of Studies on Alcohol and Drugs,8/21/18,8/21/18
jaacap,Journal of the American Academy of Child and Adolescent Psychiatry,6/27/19,6/27/19
jou,Journal of Urology,4/16/18,4/16/18
jvir,Journal of Vascular and Interventional Radiology,4/23/19,4/23/19
jvascsurg,Journal of Vascular Surgery,8/13/19,8/13/19
jove,Jove,-,6/13/18
?,JPS Journals,Add,Add
jstor,JSTOR,-,-
kanopy,KanopyStreaming,-,7/11/19
karger,Karger,-,-
kiss,KISS,8/1/19,8/1/19
karb,Kluwer Arbitration,-,-
kompass,Kompass,-,-
kortext,Kortext,-,-
lamyline,Lamyline,-,-
lerobert,Le Robert,-,-
lexis360,Lexis 360,-,-
lexisnexis,Lexisnexis Jurisclasseur,-,-
lextenso,Lextenso,-,-
lodel,LODEL : pour Irevues,-,-
maitron,Maitron,-,-
mal,Mary Ann Liebert,-,-
mhm,McGraw-Hill Medical,-,-
media,Media Cite de la Musique,-,-
mediapart,Mediapart,-,-
metapress,Metapress,-,-
msj,Microbiology Society Journals,2/8/18,2/8/18
mm,Ministry Matters,6/29/18,6/29/18
MIT,MIT Press,1/16/19,1/16/19
numir,Monographies Numérisées des bibliothèques Mathématiques Informatique Recherche des Universités Paris Diderot et Pierre et Marie Curie,-,-
mycow,My Cow,-,-
ncbi,National Center for Biotechnology Information,-,-
