URL,Notes
journals.aace.com,Evaluate for parser addition
www.aaojournal.org,Evaluate for parser addition
musicid.academicrightspress.com,Evaluate for parser addition
adage.com,Evaluate for parser addition
gaia.adage.com,Evaluate for parser addition
www.ala.org,Evaluate for parser addition
legalcompass.intelligence.alm.com,Evaluate for parser addition
platform.almanhal.com,Evaluate for parser addition
static.almanhal.com,Evaluate for parser addition
www.almanhal.com,Evaluate for parser addition
assets.ama-assn.org,Evaluate for parser addition
cdn.edhub.ama-assn.org,Evaluate for parser addition
edhub.ama-assn.org,Evaluate for parser addition
fsso.ama-assn.org,Evaluate for parser addition
journalofethics.ama-assn.org,Evaluate for parser addition
datasets.americasbarometer.org,Evaluate for parser addition
www.annals.edu.sg,Evaluate for parser addition
ccdm.aphapublications.org,Evaluate for parser addition
cdn.journals.aps.org,Evaluate for parser addition
librarians.aps.org,Evaluate for parser addition
link.aps.org,Evaluate for parser addition
my.aps.org,Evaluate for parser addition
www.aps.org,Evaluate for parser addition
artfl-project.uchicago.edu,Evaluate for parser addition
database.asahi.com,Evaluate for parser addition
www.atsjournals.org,Evaluate for parser addition
avmajournals.avma.org,Evaluate for parser addition
asset.barrons.com,Evaluate for parser addition
images.barrons.com,Evaluate for parser addition
www.barrons.com,Evaluate for parser addition
www.dl.begellhouse.com,Evaluate for parser addition
www.berghahnjournals.com,Evaluate for parser addition
bmcmolcellbiol.biomedcentral.com,Evaluate for parser addition
jps.biomedcentral.com,Evaluate for parser addition
thejournalofheadacheandpain.biomedcentral.com,Evaluate for parser addition
eje.bioscientifica.com,Evaluate for parser addition
erc.bioscientifica.com,Evaluate for parser addition
joe.bioscientifica.com,Evaluate for parser addition
rep.bioscientifica.com,Evaluate for parser addition
birdsoftheworld.org,Evaluate for parser addition
assets.bizjournals.com,Evaluate for parser addition
track.bizjournals.com,Evaluate for parser addition
www.bizjournals.com,Evaluate for parser addition
www.bloomsburycollections.com,Evaluate for parser addition
www.bloomsburypopularmusic.com,Evaluate for parser addition
subscribers.c2er.org,Evaluate for parser addition
www.caareviews.org,Evaluate for parser addition
eyeonfdo.foundationcenter.org,Evaluate for parser addition
fconline.foundationcenter.org,Evaluate for parser addition
maps.foundationcenter.org,Evaluate for parser addition
covid.cdc.gov,Parking Lot
data.cdc.gov,Parking Lot
gis.cdc.gov,Parking Lot
ndmsia.cdc.gov,Parking Lot
search.cdc.gov,Parking Lot
stacks.cdc.gov,Parking Lot
www.cdc.gov,Parking Lot
wwwnc.cdc.gov,Parking Lot
www.ceeol.com,Evaluate for parser addition
www.china-data-online.com,Evaluate for parser addition
www.choicereviews.org,Evaluate for parser addition
www.chronicle.com,Evaluate for parser addition
epoc.cochrane.org,Evaluate for parser addition
oralhealth.cochrane.org,Evaluate for parser addition
static-test.cochrane.org,Evaluate for parser addition
www.cochrane.org,Evaluate for parser addition
www.cochranelibrary.com,Evaluate for parser addition
www.commentarymagazine.com,Evaluate for parser addition
www.comprehensivephysiology.com,Evaluate for parser addition
www.conference-board.org,Evaluate for parser addition
www.consumerbrandanalytics.com,Evaluate for parser addition
ebooks.library.cornell.edu,Evaluate for parser addition
media3.criterionpic.com,Evaluate for parser addition
api.crossref.org,Evaluate for parser addition
apps.crossref.org,Evaluate for parser addition
assets.crossref.org,Evaluate for parser addition
crossmark.crossref.org,Evaluate for parser addition
crossmark-cdn.crossref.org,Evaluate for parser addition
data.crossref.org,Evaluate for parser addition
mr.crossref.org,Evaluate for parser addition
search.crossref.org,Evaluate for parser addition
www.crossref.org,Evaluate for parser addition
www.journal.csj.jp,Evaluate for parser addition
www.daredictionary.com,Evaluate for parser addition
trailers.digitalconcerthall.com,Evaluate for parser addition
www.digitalconcerthall.com,Evaluate for parser addition
www.digitaltheatreplus.com,Evaluate for parser addition
auth.accounts.dowjones.com,Evaluate for parser addition
images.dowjones.com,Evaluate for parser addition
professional.dowjones.com,Evaluate for parser addition
signin.dowjones.com,Evaluate for parser addition
sso.accounts.dowjones.com,Evaluate for parser addition
www.dowjones.com,Evaluate for parser addition
www.dustri.com,Evaluate for parser addition
dvlf.uchicago.edu,Evaluate for parser addition
auth.emis.com,Evaluate for parser addition
www.emis.com,Evaluate for parser addition
journals.equinoxpub.com,Evaluate for parser addition
esv-campus.de,Evaluate for parser addition
ec.europa.eu,Evaluate for parser addition
europepmc.org,Evaluate for parser addition
www.excavation.co.kr,Evaluate for parser addition
advantage.factset.com,Evaluate for parser addition
login.factset.com,Evaluate for parser addition
facultyopinions.com,Evaluate for parser addition
primestatic.facultyopinions.com,Evaluate for parser addition
www.filmplatform.net,Evaluate for parser addition
www.foodsystemsjournal.org,Evaluate for parser addition
www.foreignaffairs.com,Evaluate for parser addition
www.getabstract.com,Evaluate for parser addition
web.gideononline.com,Evaluate for parser addition
analytics.globaldata.com,Evaluate for parser addition
icassets.globaldata.com,Evaluate for parser addition
login.globaldata.com,Evaluate for parser addition
medical.globaldata.com,Evaluate for parser addition
oa.globaldata.com,Evaluate for parser addition
pharma.globaldata.com,Evaluate for parser addition
store.globaldata.com,Evaluate for parser addition
technology.globaldata.com,Evaluate for parser addition
www.globaldata.com,Evaluate for parser addition
www.globalroadwarrior.com,Evaluate for parser addition
www.grantforward.com,Evaluate for parser addition
gold.greyhouse.com,Evaluate for parser addition
digitalcollections.library.gsu.edu,Evaluate for parser addition
guilfordjournals.com,Evaluate for parser addition
stat.haaretz.co.il,Evaluate for parser addition
www.haaretz.com,Evaluate for parser addition
archive.harpers.org,Evaluate for parser addition
harpers.org,Evaluate for parser addition
app.harpweek.com,Evaluate for parser addition
www.hup.harvard.edu,Evaluate for parser addition
sso.hematology.org,Evaluate for parser addition
www.hematology.org,Evaluate for parser addition
cms.herbalgram.org,Evaluate for parser addition
www.hh.um.es,Evaluate for parser addition
www.hisculture.co.kr,Evaluate for parser addition
subscriber.hoovers.com,Evaluate for parser addition
journals.humankinetics.com,Evaluate for parser addition
us.humankinetics.com,Evaluate for parser addition
www.humankinetics.com,Evaluate for parser addition
www.iclr.co.uk,Evaluate for parser addition
www.ijmed.org,Evaluate for parser addition
worldcompetitiveness.imd.org,Evaluate for parser addition
www.impan.pl,Evaluate for parser addition
www.inderscienceonline.com,Evaluate for parser addition
www.intlpress.com,Evaluate for parser addition
www.ipasource.com,Evaluate for parser addition
www.isabelhealthcare.com,Evaluate for parser addition
journals.iucr.org,Evaluate for parser addition
scripts.iucr.org,Evaluate for parser addition
insight.jci.org,Evaluate for parser addition
www.jci.org,Evaluate for parser addition
www.jospt.org,Evaluate for parser addition
www.jstage.jst.go.jp,Evaluate for parser addition
www.ksdcdb.kr,Evaluate for parser addition
www.latinnews.com,Evaluate for parser addition
images.law.com,Evaluate for parser addition
store.law.com,Evaluate for parser addition
www.law.com,Evaluate for parser addition
academynext.lawnb.com,Evaluate for parser addition
emory.lawnb.com,Evaluate for parser addition
grandrobert.lerobert.com,Evaluate for parser addition
www.lerobert.com,Evaluate for parser addition
www.lexology.com,Evaluate for parser addition
lieberman-index.org,Evaluate for parser addition
www.lieberman-institute.com,Evaluate for parser addition
acm-prod-streaming.literatumonline.com,Evaluate for parser addition
aha-prod-cdn.literatumonline.com,Evaluate for parser addition
aip-prod-cdn.literatumonline.com,Evaluate for parser addition
hope-prod-cdn.literatumonline.com,Evaluate for parser addition
marlin-prod.literatumonline.com,Evaluate for parser addition
rsna-prod-cdn.literatumonline.com,Evaluate for parser addition
tandf-prod-cdn.literatumonline.com,Evaluate for parser addition
thoracic-prod-cdn.literatumonline.com,Evaluate for parser addition
wol-prod-cdn.literatumonline.com,Evaluate for parser addition
www.liverpooluniversitypress.co.uk,Evaluate for parser addition
llmc.com,Evaluate for parser addition
www.llmc.com,Evaluate for parser addition
lockwoodonlinejournals.com,Evaluate for parser addition
sync.lrb.co.uk,Evaluate for parser addition
www.lrb.co.uk,Evaluate for parser addition
journals.lww.com,Evaluate for parser addition
www.manchesterhive.com,Evaluate for parser addition
www.manchesteropenhive.com,Evaluate for parser addition
advantage.marketline.com,Evaluate for parser addition
academic.marketresearch.com,Evaluate for parser addition
www.marketresearch.com,Evaluate for parser addition
www.mathjournals.org,Evaluate for parser addition
www.mdpi.com,Evaluate for parser addition
www.medscape.com,Evaluate for parser addition
www.mergentonline.com,Evaluate for parser addition
www.mgg-online.com,Evaluate for parser addition
sloanreview.mit.edu,Evaluate for parser addition
db.mkstudy.com,Evaluate for parser addition
www.mlajournals.org,Evaluate for parser addition
www.mohrsiebeck.com,Evaluate for parser addition
library.morningstar.com,Evaluate for parser addition
gebrc.nccu.edu.tw,Evaluate for parser addition
netterreference.com,Evaluate for parser addition
newleftreview.org,Evaluate for parser addition
archives.newyorker.com,Evaluate for parser addition
media.newyorker.com,Evaluate for parser addition
www.newyorker.com,Evaluate for parser addition
aidsinfo.nih.gov,Parking Lot
auth.nih.gov,Parking Lot
blast.ncbi.nlm.nih.gov,Parking Lot
cdn.ncbi.nlm.nih.gov,Parking Lot
consensus.nih.gov,Parking Lot
ehp.niehs.nih.gov,Parking Lot
era.nih.gov,Parking Lot
eutils.ncbi.nlm.nih.gov,Parking Lot
ghr.nlm.nih.gov,Parking Lot
grants.nih.gov,Parking Lot
hivinfo.nih.gov,Parking Lot
preview.ncbi.nlm.nih.gov,Parking Lot
projectreporter.nih.gov,Parking Lot
pubchem.ncbi.nlm.nih.gov,Parking Lot
public.csr.nih.gov,Parking Lot
public.era.nih.gov,Parking Lot
pubmed.ncbi.nlm.nih.gov,Parking Lot
rarediseases.info.nih.gov,Parking Lot
report.nih.gov,Parking Lot
www.nhlbi.nih.gov,Parking Lot
www.niaid.nih.gov,Parking Lot
www.niams.nih.gov,Parking Lot
www.nih.gov,Parking Lot
www.nihms.nih.gov,Parking Lot
www.nlm.nih.gov,Parking Lot
www.ors.od.nih.gov,Parking Lot
